kozterulet;hosszusag;szelesseg;funkcio
Pinty utca;3,4;2,6;háló
Szegfűszeg utca;3,8;3,9;háló
Verőszala utca;4,9;3,1;fürdőszoba
Rézvirág utca;3,2;2,3;mosókonyha
Acél utca;3;2,1;gardrób
Dózsa köz;3,9;3,6;háló
Ókastély utca;2,1;3;fürdőszoba
Szarvas tér;4,6;3,3;háló
Margitvirág utca;2,6;3,3;terasz
Pinty utca;4,6;5,5;konyha
Kőrösmező utca;3,7;3,3;konyha
Csíkhal utca;4,9;3,9;nappali
Kisállomás utca;4,2;3,4;konyha
Szentháromság utca;4;5,8;nappali
Petőfi Sándor utca;2,5;2,7;konyha
Pelyva utca;1,4;1,1;erkély
Vető utca;4,8;2,8;háló
Nagyecsed utca;1,8;1,2;WC
Munkácsy Mihály utca;4,3;5,9;nappali
Janicsár utca;3,5;3,8;háló
Krónikás utca;3,6;3,6;mosókonyha
Ingovány utca;2,6;2,8;kamra
Kard utca;3,7;4,8;háló
Tópart utca;3,5;2,7;háló
Sóvirág út;3,3;3,8;háló
Perczel Mór utca;1;0,9;kamra
Küküllő utca;3,3;2,2;kamra
Holdsugár utca;3;2,8;háló
Nemzetőr sor;4,5;3,9;nappali
Vajdahunyad utca;2,4;2,2;háló
Keszi utca;2,7;2,3;fürdőszoba
Verőszala utca;3,5;4;háló
Déva utca;1,5;1,1;WC
Ormós Lajos utca;3,2;2,5;háló
Éger utca;5,9;6;nappali
Toldás köz;4,5;4,6;háló
Hátszegi utca;3,8;2,6;konyha
Mézesbáb utca;4,5;4,7;nappali
Nagyecsed utca;5,5;5,5;nappali
Pancsovai utca;2,4;4,1;háló
Ráchegy utca;3;2,8;háló
Sándorfalvi út;3,2;2,7;háló
Bondorhát utca;0,8;1;kamra
Kórház utca;2,1;4,4;fürdőszoba
Vértanú utca;3,2;3,3;konyha
Szatymazi utca;0,9;0,9;kamra
Szöcske utca;3,2;3,2;fürdőszoba
Csörsz utca;2,3;1,5;erkély
Kondoroskert utca;2,4;2,9;erkély
Tisza utca;2,8;2,2;dolgozószoba
Bondorhát utca;3,4;3,8;dolgozószoba
Szöcske utca;3,5;3,9;mosókonyha
Téglagyár utca;2,8;3,5;háló
Síntelep utca;1,3;1,4;WC
Mészöly Géza utca;4,8;5,5;nappali
Cser utca;3,7;2,1;háló
Mocsáry Lajos utca;3,1;2,8;háló
Tükrösszív utca;2,2;3,9;kamra
Vaszy Viktor tér;3,3;3,8;fürdőszoba
Dorogi utca;3,4;2,9;háló
Bondorhát utca;2,8;3,4;háló
Mikepércsi út;2,3;3,6;háló
Krisztina utca;3,1;2,1;háló
Kölcsey Ferenc utca;6,5;4,4;nappali
Boldizsár utca;1,8;1,2;kamra
Héja utca;0,9;1;kamra
Szilvásújfalvi utca;4,3;2,6;háló
Baltacin utca;1,7;1,6;kamra
Köteles utca;2,1;2,2;fürdőszoba
Körtvélyes utca;4;4,7;konyha
Szömörce utca;2,3;2;háló
Ipar dűlő;4;2,9;háló
Kapisztrán út;3,1;2,9;fürdőszoba
Krónikás utca;4,7;3,1;háló
Tölgy utca;3,8;3,8;háló
Lant utca;2,3;2,6;dolgozószoba
Perényi utca;2,4;2,7;háló
Templom köz;2,9;2,7;erkély
Ungvár utca;3;4,1;fürdőszoba
Kisszőlő utca;2,6;3,5;háló
Szilágyság utca;0,8;0,8;kamra
Népdal utca;2,9;2,3;konyha
Jázmin utca;2;2,8;erkély
Felhő utca;4,2;2,2;háló
Pacsirta utca;1,5;1,1;erkély
Orgona sor;3,2;2,5;háló
Balaton utca;2,3;2,7;dolgozószoba
Bacsó Béla utca;3,2;4;fürdőszoba
Kormosalma utca;2,4;3,3;kamra
Kokárda utca;0,8;1;kamra
Fácán utca;2,6;2,1;háló
Tündérhegy utca;3,3;3,1;dolgozószoba
Diótörő utca;2,8;2,8;háló
Várad utca;4,1;3,7;háló
Május 1. utca;2,1;2,5;háló
Közép fasor;3,1;3,1;háló
Ambrus utca;3,9;2,2;kamra
Felhő utca;3,1;4;konyha
Gyimesi utca;2,4;3,9;terasz
Gyík utca;2,4;3,1;kamra
Szordasi út;2,4;2,2;fürdőszoba
Mocsáry Lajos utca;6,4;6,1;nappali
Kormorán utca;5,5;4,6;nappali
Nagy-Eged utca;4,2;3,2;háló
Vadőr utca;2,5;2,2;erkély
Makó utca;3,9;3,2;kamra
Szitakötő utca;2,7;3;fürdőszoba
Rózsamajor út;0,9;0,9;kamra
Balzsamfű utca;2,5;5,2;konyha
Gomba utca;3,9;5,6;konyha
Fonatos utca;2,2;2,5;háló
Pósa utca;4,5;2,7;háló
Csikós utca;3,1;3,2;háló
Krisztina utca;5,1;5,4;nappali
Tímár utca;1,8;1,2;kamra
Gomba utca;4,6;2,8;háló
Malajdok út;0,9;0,9;kamra
Ispotály utca;4,4;5;fürdőszoba
Hatvan utca;1,7;1,8;WC
Krónikás utca;5,3;2,7;konyha
Leánder utca;2,9;3,4;háló
Basahíd utca;2;2,1;háló
Kisvölgy utca;4,4;3,5;háló
Mókus utca;2,5;2,4;fürdőszoba
Tóparti út;4,4;4,1;fürdőszoba
Úszó utca;1,3;1,3;WC
Pinty utca;2,6;2,1;erkély
Hangyás köz;3,4;3,1;háló
Kormorán utca;2,8;2,1;erkély
Küküllői utca;3,6;3,3;háló
Oltványi utca;6,1;4,8;nappali
Bellegelői út;2,3;2,2;fürdőszoba
Gomba utca;3,2;4,7;háló
Gombvirág utca;2,5;4;fürdőszoba
Marostorok utca;2,4;2;gardrób
Szérűskerti sor;4,1;4,1;nappali
Csörsz utca;3;3,9;háló
Tengelic dűlő;3,3;2,3;fürdőszoba
Cifrakapu utca;3;2,4;fürdőszoba
Ősz utca;3,7;2,6;konyha
Malvin utca;1,6;1,9;kamra
Tomori Pál utca;2,3;2,5;kamra
Május 1. utca;5,5;4,9;nappali
Dinnyés utca;1,6;1,9;WC
Szélpart utca;4,2;4,5;fürdőszoba
Kőrösmező utca;2,1;3,8;háló
Hárs utca;3,5;2,8;terasz
Tündérhegy utca;1;0,9;kamra
Ostoros utca;1,8;1,7;WC
Pápai utca;2,4;3,5;fürdőszoba
Apafi utca;3;2,4;háló
Sajó utca;3,6;3,6;háló
Dalos utca;2,1;3;háló
Ipar dűlő;2,1;4,6;fürdőszoba
Kecskeméti utca;2,2;2,5;háló
Basahíd utca;2,4;2,2;fürdőszoba
Szentmihályteleki utca;1,5;2,1;erkély
Rozmaring utca;2,1;2,4;kamra
Makó utca;2,9;3,7;háló
Ingovány utca;4,2;3,3;fürdőszoba
Aranypohár dűlő;2,1;2,8;háló
Józsakert utca;3,7;6;nappali
Petresi utca;3,8;2,2;fürdőszoba
Kormosalma utca;2,5;2,6;erkély
Déri tér;2,1;2,9;háló
Lóding utca;4;4,9;nappali
Nagyecsed utca;2,1;2,1;kamra
Gyékényesi út;3,2;3,3;gardrób
Szikigyakor utca;1;1,5;WC
Hungária utca;3,6;4;háló
Tas utca;1,9;1,2;erkély
Balzsamfű utca;2,8;2,7;erkély
Rétikanyar utca;4,9;4,3;nappali
Bulcsú utca;3,2;2,5;fürdőszoba
Gyöngyvessző utca;2,5;2,5;fürdőszoba
Küküllői utca;4,1;5,1;nappali
Kisbotos utca;4;5,3;nappali
Vécsey utca;2,3;3,3;gardrób
Szarkaláb utca;3,7;2,2;háló
Dalos utca;1,4;1;WC
Törő utca;2,5;3,3;háló
Szepesi utca;1,4;1,8;kamra
Gyékényesi út;2,3;3,3;fürdőszoba
Kisfaludy Sándor út;5,1;5,3;nappali
Iszalag út;3;3,9;háló
Védőnő utca;2;2,1;fürdőszoba
Lant utca;2,3;3,8;dolgozószoba
Kincseshegy utca;1,4;1,3;WC
Kőporos tér;3,5;2,8;gardrób
Dalos utca;3,6;2;konyha
Felvégi utca;1,6;2,7;erkély
Görgey utca;2,4;2;mosókonyha
Barackos utca;5,2;3,8;nappali
Rutafű utca;3,4;4,1;háló
Hortenzia utca;2,8;2,6;erkély
Budapesti út;1,8;1,1;kamra
Knézich Károly utca;3,4;3;terasz
Hajós Alfréd utca;5;5,1;nappali
Jázmin utca;2,8;4,5;fürdőszoba
Mester utca;3,6;2,5;háló
Kond utca;2,6;3,4;háló
Kecskeméti utca;2,8;2,4;fürdőszoba
Pipitér utca;2,2;2,6;fürdőszoba
Benczúr Gyula utca;1,6;1,3;WC
Kubikos utca;1,9;1,1;kamra
Kölcsey Ferenc utca;3,9;3,2;dolgozószoba
Vadmálna utca;3,1;2,8;fürdőszoba
Herke utca;2,6;2,7;háló
Czibula utca;2,8;2,7;erkély
Páfrány utca;3,1;2,3;háló
Síntelep utca;4,8;4;nappali
Szentháromság utca;4,6;4,3;fürdőszoba
Lóding utca;3,6;4,9;nappali
Vaskapu utca;3,1;3,1;háló
Nagyszéki út;1,4;1,9;erkély
Sarlófű utca;2,9;2,3;fürdőszoba
Pemetefű utca;1,4;1,6;kamra
Kölcsey Ferenc tér;1,3;2,4;erkély
Só utca;3,8;2,2;háló
Töhötöm utca;5,6;4,2;nappali
Akácfa utca;3,2;3,7;kamra
Gyimes utca;4,3;3,1;konyha
Iringó utca;2,6;3,6;konyha
Bokros utca;3,2;3,2;fürdőszoba
Földibodza utca;3,9;3,3;háló
Dolgos utca;3,8;2,7;fürdőszoba
Templom köz;2,8;3,1;konyha
Pinty utca;3,1;3;háló
Lechner tér;3,8;2,2;háló
Szikigyakor utca;3,7;4,2;háló
Vértanú utca;2,5;2,8;kamra
Rókus utca;3,8;3,1;konyha
Pincés utca;3,4;3,6;fürdőszoba
Rendező tér;3,3;3,7;háló
Zsurló utca;0,9;0,9;kamra
Szélső sor;3,7;2,3;konyha
Lant utca;2;2,5;erkély
Ajtony köz;3,6;3,8;mosókonyha
Törő utca;4,4;4,2;nappali
Hentes utca;4,6;2,8;konyha
Remenyik Zsigmond utca;2,5;3;háló
Gyulafehérvári utca;1,4;1,1;WC
Sajtoló utca;2,9;3,9;konyha
Orgona sor;3,2;4,4;háló
Tárkony utca;2,7;1,9;erkély
Pancsovai utca;3,4;4,1;háló
Vályogos utca;3;3,5;fürdőszoba
Bárány utca;3,7;2,1;fürdőszoba
Kamilla utca;2,4;2;fürdőszoba
Bimbó utca;1,4;1,5;WC
Bánki Donát utca;0,9;0,9;kamra
Gambrinus köz;3,9;2,4;háló
Fóliás utca;1,8;1,8;WC
Balzsamfű utca;2,4;3,6;mosókonyha
Borbála utca;2,5;2,7;fürdőszoba
Hungária utca;5;3,9;konyha
Kacagány utca;2,2;2,1;konyha
Éva utca;3,8;3,8;nappali
Tóth Árpád utca;3,6;3,9;háló
Körtvélyes utca;2,3;2,2;konyha
Bürök utca;3,1;3,1;háló
Pancsovai utca;2;3,4;fürdőszoba
Késmárk utca;1,7;1,5;kamra
Bánki Donát utca;3,9;4;háló
Debreceni út;1,5;2,4;erkély
Szilvásújfalvi utca;2,7;4,1;háló
Szilvásújfalvi utca;4;2,9;háló
Gyöngyvessző utca;0,8;0,9;kamra
Rendező tér;3,4;4,3;háló
Sajó utca;4,6;4,2;háló
Bürök utca;2,3;3,1;dolgozószoba
Remenyik Zsigmond utca;2,3;1,9;erkély
Bartók Béla út;3,4;4;fürdőszoba
Éva utca;2,3;3,3;háló
Vécsey utca;1,3;1,6;WC
Szoboszlói út;3,4;4,1;fürdőszoba
Tőzsér utca;2,4;4;háló
Vág utca;2,7;3,6;fürdőszoba
Perczel Mór utca;1,3;1,3;WC
Pitypang utca;1,3;1,7;WC
Pipóhegy utca;3,4;2,6;gardrób
Szilágyság utca;3,1;4;háló
Dáni utca;3,3;2,5;konyha
Gyöngyvessző utca;1,2;1,4;WC
Nagy-Eged utca;3,4;3,6;dolgozószoba
Liget sor;5,4;6,1;nappali
Újsor utca;3,9;3,7;háló
Fenyőmag utca;2,7;3,1;háló
Szotyori utca;4,7;4,2;nappali
Szarvas tér;2,3;2,7;erkély
Kard utca;4,7;5,1;nappali
Gomba utca;3;2,4;erkély
Borbála utca;4,7;3,3;konyha
Cifrakapu utca;3,5;3,9;kamra
Borbála utca;4,3;4,9;fürdőszoba
Mézeskard utca;3,5;1,9;kamra
István király tér;1,8;2,7;kamra
Faraktár utca;5,2;2,6;konyha
Pesti utca;2;1,9;kamra
Verseci utca;3,7;3,9;konyha
Nagybecskereki utca;2,9;5,7;konyha
Lóding utca;2,3;2,1;fürdőszoba
Vásártér sor;2,5;2,7;mosókonyha
József Attila utca;2;1,8;gardrób
Nagykőporos út;2,1;5,9;konyha
Lóding utca;3,2;2,8;háló
Herke utca;2,1;2,6;fürdőszoba
Nagy-Eged utca;3,8;4,6;háló
Csemete utca;2,3;3,2;konyha
Porcsin utca;2,3;2,2;konyha
Leánder utca;3,4;2,5;háló
Mák utca;4,4;5,6;nappali
Sarlófű utca;5,2;4,5;nappali
Hattyas utca;4;2,9;háló
Zöldmező utca;3,1;5;konyha
Macskási út;5,2;3,8;nappali
Perényi utca;1,1;1,4;WC
Radnóti utca;1,1;1,5;WC
Déva utca;4,2;4,5;nappali
Ceglédi utca;4,2;4,1;nappali
Turul utca;0,8;1;kamra
Kórház utca;4,9;3,8;háló
Vaszy Viktor tér;5,6;5,4;nappali
Szikigyakor utca;3,8;3,9;fürdőszoba
Szentiváni dűlő;4,3;3,7;háló
Fenyő utca;3,5;3,5;dolgozószoba
Keszeg utca;1,3;1,5;kamra
Limány köz;3,9;2,2;konyha
Béke utca;4,4;3,1;háló
Béke utca;2,6;3;háló
Gomba utca;3,4;2;kamra
Ungvár utca;3,5;3,9;háló
Pinty utca;4,6;2,7;konyha
Vereshomok dűlő;2,9;3,9;fürdőszoba
Géza utca;3,7;3,4;fürdőszoba
Csörlő utca;4,3;4,1;háló
Hangyás köz;5,1;2,5;konyha
Perczel Mór utca;0,8;0,8;kamra
Cserép köz;3,6;3,6;háló
Tárnokfű utca;3,2;2,3;dolgozószoba
Tóparti út;3,6;2,3;fürdőszoba
Kékszőlő utca;2,9;2,4;fürdőszoba
Jáger utca;3;2,8;háló
Kereskedő köz;3;2,3;háló
Ambrus utca;3,6;3;háló
Átrium köz;3,7;2,7;háló
Bodomi út;2,7;2,3;háló
Pákász utca;5,2;5,7;nappali
Tündérhegy utca;3,8;3,6;háló
Fürtös köz;2,5;2,9;háló
Őszapó utca;2,9;3;fürdőszoba
Sóvirág út;3;3,2;fürdőszoba
Vajk utca;4,5;5,8;nappali
Lóding utca;2,8;2,2;fürdőszoba
Héja utca;2,7;2,4;háló
Parittya utca;3;3,9;háló
Limány köz;2,5;2,5;fürdőszoba
Kalcit köz;3,8;4;háló
Kard utca;1,7;1,2;WC
Költő utca;3,2;2,4;kamra
Tizeshonvéd utca;5,7;5,4;nappali
Vadmálna utca;3;4,7;háló
Ludányi Antal utca;2,5;4,9;háló
Józsakert utca;2,3;3,5;fürdőszoba
Csikós utca;4,6;5,9;nappali
Trafó köz;5,5;4,3;konyha
Perczel Mór utca;1;1;WC
Rézöntő utca;0,9;0,9;kamra
Mályva utca;3,2;3,8;háló
Nagyszántó utca;3,5;4,7;fürdőszoba
Baltacin utca;3,2;3,8;háló
Közép fasor;3,9;3,9;konyha
Panoráma tér;3,5;2,6;háló
József Attila sugárút;2,1;2,1;erkély
Szentháromság utca;2,8;3;mosókonyha
Sármás utca;2,8;3,6;dolgozószoba
Barna utca;3,7;3,9;háló
Trafó köz;2,7;2,5;terasz
Odú utca;0,9;0,8;kamra
Kalcit köz;2,5;2;fürdőszoba
Pacsirta utca;3;2,8;háló
Vértanú utca;2,1;1,9;kamra
Ungvár utca;2,8;2,9;kamra
Martinka sor;2,6;3,1;háló
Május 1. utca;3,5;3,5;fürdőszoba
Körmöcbányai utca;3,4;3,7;dolgozószoba
Köteles utca;6,4;6,7;nappali
Bulcsú utca;3,9;3,2;háló
Hatvan utca;2,9;3,2;háló
Zsolnai utca;2;3,4;háló
Fóliás utca;4,5;3,8;fürdőszoba
Csúcs utca;3,3;4,9;háló
Zsurló utca;2,9;3,8;háló
Petur utca;3,3;3,8;háló
Arató utca;4,9;4,5;nappali
Basahíd utca;2,7;2,9;fürdőszoba
Nyárád utca;2,9;3,8;gardrób
Völgy utca;2,6;2;fürdőszoba
Iszalag út;1;0,9;kamra
Bányász utca;2,6;2,8;háló
Vértanú utca;5,8;3,6;konyha
Makó utca;2,8;4,6;háló
Gomba utca;2;3,1;dolgozószoba
Ráchegy utca;3,4;3,9;dolgozószoba
Vadmálna utca;2,3;3,7;terasz
Lilla tér;2,9;2,5;fürdőszoba
Galagonya utca;3,5;3,6;háló
Part út;3,4;2,8;dolgozószoba
Mata János utca;1,8;1,8;kamra
Kút utca;3,6;2,9;háló
Pille utca;3,4;3,1;háló
Nagy-Eged utca;3,5;2,4;kamra
Szélső sor;1,1;1,4;WC
Tinódi utca;2;3,3;háló
Almafa utca;2,1;2,8;gardrób
Mester utca;4,9;5;konyha
Kölcsey Ferenc utca;1,9;1,1;WC
Martinovics utca;3,6;3,4;konyha
Cser utca;2,9;3,9;háló
Pesti utca;2,4;2,8;erkély
Ady park;0,9;0,9;kamra
Balzsamfű utca;3,1;3,9;dolgozószoba
Fűtőház köz;4,4;2,3;háló
Petur utca;1,6;1,9;erkély
Pisztácia utca;3,1;3,8;kamra
Mészöly Géza utca;1,2;1,2;WC
Vajdahunyad utca;2,4;1,2;erkély
Kartács utca;2,9;4,4;háló
Rézvirág utca;6,3;4,3;nappali
Palóc utca;3,6;3,9;kamra
Orgona sor;4,6;5,6;nappali
Ostoros utca;3,1;2,8;terasz
Gomba utca;3;2,2;kamra
Kapisztrán út;1,2;1,1;WC
Harangos utca;3,4;2,2;háló
Csákósor utca;5,5;5,4;nappali
Hámfa utca;2,7;2,6;konyha
Bethlen Gábor utca;0,9;0,8;kamra
Kertész utca;2,6;4,2;háló
Fogarasi utca;2,6;2,9;konyha
Bethlen Gábor utca;2,2;3,4;háló
Tócópart utca;3,7;3,2;háló
Ív utca;4;4,8;háló
Pinty utca;3,8;4,6;háló
Vadmálna utca;4,3;5,8;nappali
Méhkas utca;2,1;3,7;dolgozószoba
Déri tér;3,9;2,6;fürdőszoba
Ungvár utca;3,9;2,4;fürdőszoba
Madárkút utca;3,2;2,9;dolgozószoba
Mályva utca;2,6;3,5;háló
Tegzes utca;2,8;2,9;háló
Pasztinák köz;2,3;3,3;háló
Körmöcbányai utca;2,3;2,1;konyha
Liliomkert utca;3,4;2,7;konyha
Szentháromság utca;5;4,3;háló
Pitypang utca;3,7;5,7;konyha
Vajdahunyad utca;2,3;2,4;fürdőszoba
Kádár utca;3,4;2,7;háló
Ostoros utca;3,2;4,4;háló
Gyékényesi út;4,7;4,6;háló
Úszó utca;1,2;1,4;WC
Pisztácia utca;4,6;3,9;háló
Nemzetőr sor;2;2,2;fürdőszoba
Százados utca;2,8;2,6;kamra
Rendező tér;4,3;4,1;konyha
Kacagány utca;3,7;3,6;háló
Főző utca;4,9;3,4;konyha
Károli Gáspár utca;2,3;2,9;háló
Vadmálna utca;5,2;3,4;konyha
Rutafű utca;3,7;4;háló
Kontyvirág utca;2,4;2,9;fürdőszoba
Kolónia utca;1,8;1,5;erkély
Föltámadás utca;2,6;3,5;háló
Stadion utca;2,9;4,3;háló
Bihari utca;3,2;3,7;háló
Küküllő utca;2,6;4,4;fürdőszoba
Március 15-e utca;1,8;1,2;kamra
Káka utca;2,4;1,3;erkély
Telep utca;2,8;2;háló
Trafó köz;3,5;4;háló
Bükkmogyoró utca;1,8;2;erkély
Olajfa utca;4,7;3,4;fürdőszoba
Major utca;1,2;1,1;WC
Méhkas utca;3,4;3,7;háló
Nagyecsed utca;4;4;háló
Ezüstnyár utca;1,4;1,7;erkély
Háló utca;3,9;2,5;háló
Toldás köz;2,8;4,3;háló
Szoboszlói út;1,9;3,4;kamra
Lant utca;2,1;2;fürdőszoba
Agyagos utca;3;2,9;háló
Hajlat utca;3,9;2,7;terasz
Napfény utca;3,6;2,1;dolgozószoba
Ostoros utca;3;1,9;kamra
Pacikert utca;2,3;2,5;fürdőszoba
Károli Gáspár utca;3,1;2,5;háló
Szentiváni dűlő;1,2;1,9;WC
Jégmadár utca;3,8;2,9;konyha
Herke utca;3,1;2,5;háló
Tizeshonvéd utca;4,1;3,3;háló
Kertész utca;2,5;2,9;dolgozószoba
Déva utca;4,4;2,2;háló
Vértanú utca;1,4;1,6;WC
Krónikás utca;1,9;1,6;WC
Kisszőlő utca;1,1;1,2;WC
Mester utca;4;3,3;dolgozószoba
Csipkebogyó utca;5,3;3,6;nappali
Mókus utca;2,7;2,9;háló
Hegedű utca;3;2,7;fürdőszoba
Szarvas tér;2,5;2,2;kamra
Keszi utca;1,3;1,6;WC
Porzó utca;2,2;2,3;fürdőszoba
Malajdok út;3,1;2,5;konyha
Cserfa utca;5,8;4,3;nappali
Lehel utca;2,5;2,9;háló
Tizeshonvéd utca;2,9;3,3;háló
Csöndes utca;2,6;2,2;fürdőszoba
Szikigyakor utca;1,1;1;WC
Sajó utca;2,7;2,9;háló
Jázmin utca;3,2;3,4;háló
Veres utca;3,9;5,4;nappali
Pesti utca;2,3;2,6;kamra
Leánder utca;4;2,2;háló
Közép fasor;1,4;1,4;WC
Tinódi utca;2,7;3,3;konyha
Öreghegyi utca;3,1;4,1;háló
Kinizsi utca;4,4;3,6;háló
Fő tér;1,7;1,8;WC
Leányka utca;2,3;2,6;konyha
Köteles utca;3,5;1,9;kamra
Arad utca;2,2;2,5;gardrób
Borbála utca;2,1;2,7;dolgozószoba
Ludányi Antal utca;2,9;3;háló
Mata János utca;3,7;2,9;dolgozószoba
Nagybotos utca;3,2;2,9;háló
Népkert sor;2,3;3,3;dolgozószoba
Vaszy Viktor tér;2,3;2,5;háló
József Attila utca;3,8;4,1;nappali
Vadliba utca;3,7;3;háló
Akácfa utca;1,9;1,6;WC
Martinovics utca;2,7;3;háló
Mészöly Géza utca;1,2;1,3;WC
Kincseshegy utca;4,5;4;nappali
Parittya utca;5,3;4,4;nappali
Margitvirág utca;3,6;2;mosókonyha
István király tér;3,8;3,2;dolgozószoba
Csíkhal utca;2,3;3,6;konyha
Vásártér sor;2;2,3;kamra
Dorogi utca;4,5;3,5;háló
Arany Sándor utca;3,1;2,8;kamra
Gyík utca;3,2;2,3;fürdőszoba
Nagyhát utca;2,6;2,7;mosókonyha
Közép fasor;4,8;3,7;nappali
8. utca;2,9;5,7;konyha
Verőszala utca;3,2;3,6;mosókonyha
Harangos utca;2,9;2,4;fürdőszoba
Tóth Árpád utca;2,9;3,1;háló
Salétrom utca;0,9;0,9;kamra
Szalmafonó utca;3,7;2,2;fürdőszoba
Hell Miksa utca;2,8;3,7;konyha
Hajnalka utca;3;2;háló
Kincseshegy utca;3,5;3;dolgozószoba
Nagyecsed utca;2,7;4;háló
Bem utca;3,8;3,8;dolgozószoba
Nyugati sor;3,6;2,3;gardrób
Öreghegyi utca;4,1;5,5;nappali
Tündérhegy utca;1,3;1,5;WC
Temesvári körút;3,5;3;mosókonyha
Figyelőhalmi út;2,8;2,6;fürdőszoba
Rózsavölgy utca;2,2;2,8;háló
Eszterházy tér;3,5;3,8;nappali
Parittya utca;3,6;3,8;háló
Föld utca;4,5;3,8;háló
Jázmin utca;2,8;3,2;kamra
Cinege utca;1,3;1,1;WC
Thomas Mann utca;0,9;0,9;kamra
Zsoldos köz;2,5;2,1;fürdőszoba
Gambrinus köz;2,8;2,8;konyha
Margitvirág utca;3;2,6;háló
Csurgó utca;3,4;2,2;kamra
István király tér;6,4;4,2;nappali
Jázmin utca;2,6;2,2;mosókonyha
Méheskert utca;2,3;3,4;háló
Pasztinák köz;1,8;1,5;gardrób
Debreceni út;2,7;2,9;fürdőszoba
Mézesbáb utca;4,7;4,3;háló
Bóbita utca;2,5;2,4;erkély
Ág utca;2,7;2,6;erkély
Vöcsök utca;4,1;3,8;háló
Zsák utca;2,2;2,6;fürdőszoba
Pákász utca;3,1;3,7;dolgozószoba
Ungvár utca;4,8;2,7;fürdőszoba
Kondoroskert utca;3,7;3,6;háló
Síp utca;3,9;2,6;mosókonyha
Richter Gedeon utca;2,2;2,3;háló
Csemete utca;2,7;2,5;fürdőszoba
Hegyköz utca;4,4;5,5;nappali
Csereág utca;1,6;1,6;erkély
Figyelőhalmi út;2,2;2,8;fürdőszoba
Szoboszlói út;2,8;4;kamra
Panda tér;1,4;1;WC
Hungária utca;2,9;2,7;terasz
Vadmálna utca;2,7;2,7;háló
Tinódi utca;1,3;1,4;WC
Bodrog utca;2,6;4,4;háló
Törköly utca;4,1;3,3;háló
Lant utca;0,9;0,9;kamra
Zsolnai utca;1;0,8;kamra
Perényi utca;2,5;2,2;fürdőszoba
Odú utca;3,4;3,9;háló
Nyárfa utca;4,3;3;konyha
Zsurló utca;3;3,7;háló
Salétrom utca;3,5;3,8;háló
Törköly utca;3,8;2,4;kamra
Lőcsei utca;2,2;3,2;háló
Arany János utca;3,7;4,6;nappali
Aranyosi utca;1,4;1,4;WC
Mikepércsi út;3,5;5,8;nappali
Gyimes utca;3,3;3,2;dolgozószoba
Bordányi köz;2,7;2;fürdőszoba
Kisfenyves utca;2,7;4,3;háló
Kormorán utca;3;5,3;konyha
Medok utca;3,5;2,1;fürdőszoba
Mézesbáb utca;2,2;3,3;kamra
Szarkaláb utca;2,3;3,9;fürdőszoba
Knézich Károly utca;2,6;3,2;kamra
Ujjaskosbor utca;3,3;2,5;háló
Hatvan utca;3,4;4,1;háló
István király tér;2,7;4,7;háló
Kisállomás utca;2,9;3,2;fürdőszoba
Kórház utca;3;5,1;konyha
Rózsaszéki utca;3,1;3,2;konyha
Baross Gábor utca;3,8;4,3;háló
Zsindely utca;0,8;0,9;kamra
Bánki Donát utca;3,1;3,9;háló
Limány köz;2,2;3,4;dolgozószoba
Vadmálna utca;2,1;2,5;mosókonyha
Nagybotos utca;2,4;4,3;konyha
Kacagány utca;2;3,7;háló
Pihenő utca;2,9;2,3;háló
Páfrány utca;3,4;4;háló
Károli Gáspár utca;3,6;3,1;fürdőszoba
Kiskút utca;4,9;3,2;háló
Turul utca;2,8;4;háló
Pék utca;1,2;1,3;WC
Völgyalja utca;2,5;3,2;háló
Nagyszántó utca;3,2;3,8;háló
Hajlat utca;5,1;3,9;konyha
Külüs köz;2,1;2,2;háló
Köszörűs utca;2,4;3;dolgozószoba
Dorogi utca;2,4;3,6;kamra
Trafó köz;5,8;6,5;nappali
Küküllő utca;4,7;2,8;háló
Pasztinák köz;4,3;5,2;nappali
Szeremlei utca;4,9;4,3;nappali
Kiskút utca;1,9;1,7;WC
Kisvölgy utca;4;4,2;nappali
Nyugati sor;2,2;3,6;fürdőszoba
Csíkhal utca;1,8;2;gardrób
Kormorán utca;2,8;2,9;konyha
Béke utca;2,9;2,4;dolgozószoba
Kékszőlő utca;3,4;2,1;fürdőszoba
Csemete utca;2,7;3,9;háló
Huba köz;2,5;4,4;háló
Hajlat utca;2,1;2,2;dolgozószoba
Trafó köz;3,5;2,7;fürdőszoba
Bondorhát utca;2,2;2,6;fürdőszoba
Vadrózsa sor;3,1;3,8;háló
Kond utca;3,1;3,2;háló
Lehel utca;1,8;1,7;WC
Gyergyó utca;1,1;1,3;WC
Kisbotos utca;2,2;2,5;fürdőszoba
Liliomkert utca;2,6;2,9;háló
Ostoros utca;4;4,6;nappali
Kőporos tér;3,8;3,1;fürdőszoba
Tündér utca;3,9;2,2;konyha
Törköly utca;4,2;4,4;konyha
Vadmálna utca;3,4;2,8;dolgozószoba
Tas utca;3,9;2,6;háló
Kisvölgy utca;3,1;3,1;dolgozószoba
Tisza utca;3;4,4;háló
Háló utca;3,5;3,4;dolgozószoba
Mimóza utca;4,2;2,1;konyha
Sajó utca;2;2,7;erkély
Bordányi köz;4,5;4,2;nappali
Hámfa utca;3,7;3,1;háló
